,ERR10082910,ERR10083185,ERR10082717,ERR10083228,ERR10083008,ERR10082679,ERR10083238,ERR10083036,ERR10083253,ERR10082874,ERR10083247,ERR10083101,ERR10083080,ERR10083202,ERR10083000,ERR10083215,ERR10083027,ERR10083186,ERR10082834,ERR10083108,ERR10083006,ERR10082766,ERR10083774,ERR10082806,ERR10082884,ERR10082990,ERR10082872,ERR10083218,ERR10083258,ERR10083252,ERR10083540,ERR10083542,ERR10083541,ERR10083471,ERR10083524,ERR10083523,ERR10083484,ERR10083459,ERR10083457,ERR10083439,ERR10083544,ERR10083494,ERR10083490,ERR10083473,ERR10083498,ERR10083519,ERR10083478,ERR10083419,ERR10083495,ERR10083511,ERR10083493,ERR10083564,ERR10083559,ERR10083500,ERR10083552,ERR10083455,ERR10083510,ERR10083491,ERR10083366,ERR10083530
ERR10082910,0.0,145496.28524123906,179516.58287188958,134803.7638124396,219089.17969858757,161652.06001471184,191983.23713803766,170482.95898417532,140917.78513374386,259430.63455767903,118614.66773127175,232168.37986039356,254976.50605300872,211742.57726541444,232664.1351669827,116762.63884479487,179200.31187193844,145168.55233141923,158691.74119027113,143194.50476187974,174610.76651226293,93252.73488214702,122043.46383563521,271518.65942141064,182808.21457746366,247445.59678038323,230632.6515370276,151939.43342661246,137616.02606164734,145104.48091289256,251846.91983822235,151913.05430409856,241846.6894584253,144591.68509980096,157289.54336191583,132824.1669576738,146412.2209243477,167704.44356068803,133042.60321415844,122558.78684125427,236713.51594913207,136992.52925616055,247226.12100868305,147972.13498831462,141057.13658656197,140762.76309450594,256411.8503579739,235238.8828170207,187977.49063385223,160371.17373767644,149698.43756031658,240796.16728054456,143885.04093546348,264838.5469356755,160075.1564390927,220266.46212939455,234153.9039969225,166875.81925192158,206676.76407375842,157917.4141505616
ERR10083185,145496.28524123906,0.0,81004.72736204969,37299.685105909404,116664.00904306349,47098.47632355,94616.42314630162,55625.171900857975,35366.85089176021,145452.20030649245,51595.88097900839,104250.25623949325,134219.2575527074,88335.05004243786,110102.03535811679,41436.42418211301,72293.71848231352,34463.424597680365,49053.28312152001,49895.670042599886,51627.75520008593,156015.92386035473,50383.62656657419,153717.91753403374,66705.86681844409,133780.60772398964,119729.14108102505,42832.66222172047,33273.24946559924,123520.43548336445,127213.651732037,63869.19195512027,132182.8685836406,69133.43630255913,71083.682403207,64086.0753284206,70956.00971728892,72900.93934237062,55636.436649016265,65421.745719599996,128182.40539169173,70186.6566734732,121738.60053409518,63640.89714955313,64995.88100026031,64069.09238470606,131529.82308586902,121774.39918143714,81478.63473328453,56755.87283268578,65079.86577275648,118578.97273968939,58304.67476969578,137758.67704794498,66984.62063787477,97478.29378892513,114045.3992057549,69826.16399316234,101415.09251092758,55096.047616866315
ERR10082717,179516.58287188958,81004.72736204969,0.0,83669.75316086454,50004.50776680039,73021.10926985429,39024.448362532945,69823.40016069112,74985.08711070489,92383.43597745214,100252.02632864834,87871.38813629838,106357.80913031257,81558.70112379182,89041.17015740527,97943.57977938115,69337.66857199627,78072.23539773919,81253.42624160534,81996.90059996171,72275.98648237187,170691.9541484015,93159.71575203522,108242.37845686873,71407.53514160812,93150.35352589919,58935.10968005405,83710.11390507124,83830.15534400495,104879.53307008951,103938.49104157709,77308.64657979726,100177.83415506646,78880.66484253286,74646.37841851405,85478.70332427838,78227.07467367037,74691.67078061649,82449.35558268482,94366.9629584422,97576.27228481318,82345.2395831113,101014.38614870656,78105.30049234815,83273.09326547201,82761.69034039843,107835.97893096719,91748.53494743118,68927.53241629936,70617.34932720146,81375.50646232563,95423.80197309265,73586.95724787103,113846.85354018354,71982.57744065573,83113.68543747775,91601.51852998945,69592.72018681264,77145.32868554,71425.87449937173
ERR10083228,134803.7638124396,37299.685105909404,83669.75316086454,0.0,117261.04101107069,37293.594208657334,97116.12007282829,59688.79135985248,30076.261353432878,147145.14381725277,33907.73907237108,114650.07081986473,139369.35670010105,96398.66175938337,118451.6815541257,37993.30375210874,78173.59274716751,26154.190945238584,52958.50551139071,49680.20738684572,51083.30024577504,149340.1842539375,36183.44838458601,162833.44874441493,66271.9380658209,132098.55442812384,124112.8764592941,57039.353958473264,37705.1169073907,118194.45061000115,131858.64937121113,63243.69706144637,128507.59063183778,60171.88836990244,55474.82941839479,51036.97181455812,60467.08236718554,74359.1137655634,53425.913805942524,56432.19935462377,129047.78379732059,53612.10893072571,127467.31831728476,54458.659210450634,50076.4395699215,52989.360724583195,135698.38604051265,122168.23394401673,74422.0463370902,56930.982794959724,54214.120559131086,123063.17694989026,50696.931790789866,144122.29532934868,66366.92970900492,102089.3311223068,116614.59232445998,68986.91222978458,97066.1684419448,54302.02977790057
ERR10083008,219089.17969858757,116664.00904306349,50004.50776680039,117261.04101107069,0.0,97348.16474900798,50316.33485261024,95061.93857164917,109094.9580686477,61277.22361530424,134493.49148564774,85753.6558054524,91887.30188660455,87451.36212775648,85273.73340015083,136691.81026308783,92560.4290504317,109789.52373974487,109758.88175906312,115395.75665075384,92833.0635657361,206861.0104248744,128581.08381873283,85948.85136521605,87682.7315610092,69229.97432470995,36485.34834697347,117484.08396459496,120493.19766692226,131311.14980076902,88475.75416462976,108844.89898474801,84055.3905291029,108973.97459485453,97873.56613509083,118305.22604263939,107353.78661696102,100521.3317908194,118136.25592086453,130680.33427796242,85920.92844004888,112034.42974818054,87949.65135803552,107963.07045466983,113087.13133243764,114490.82193346329,90423.58186336128,80350.78106652107,79774.68547101894,97528.32422942578,109230.8638023155,83533.04276751805,105998.09837916905,95707.09551543188,100211.87526436176,81210.66283438401,81036.61298450225,95632.65305323282,77849.4682512347,99079.77452033285
ERR10082679,161652.06001471184,47098.47632355,73021.10926985429,37293.594208657334,97348.16474900798,0.0,82702.23926230776,48641.584955673476,38287.7933811809,123310.26284944818,53416.22341573766,92920.18657966632,116564.41078648319,76212.55622271175,97597.3363161106,63790.86976205921,70287.33582943659,32498.340188385006,47634.5483551592,55215.97170203563,29274.129380734794,169648.99304740952,56706.018639999755,141915.34149273645,45041.527971417665,107491.63564203496,103997.3616588421,60345.211583024546,54155.794537611575,123993.94841684816,105448.71811928299,68424.84572872634,105834.72121662153,66163.75154871434,50784.18480196369,62826.6684856041,64560.335075028845,74202.47954751916,65232.72291572689,76275.66450054696,107520.6596240927,61070.914722149035,101241.35282580927,61562.69539258332,60257.7244425974,63828.15302826802,108828.43814463203,101513.98632700816,56466.502583390095,49221.130980504706,60139.2557569513,98093.13228763775,57956.4758417901,117533.22463882287,67411.22035685157,77439.99196797478,91139.02774333287,67082.43867063869,79078.73425264216,47483.16325814867
ERR10083238,191983.23713803766,94616.42314630162,39024.448362532945,97116.12007282829,50316.33485261024,82702.23926230776,0.0,85870.21414902841,91473.24341576612,98461.6588982737,109918.62707021044,98714.82755391917,117437.11959597783,92905.1475376903,102564.79282385355,112373.83206957036,93540.89415330601,91146.45224033682,91247.75420798037,98285.14689412637,80644.67016486582,170371.56916281543,108472.8484045662,110163.11486155428,81689.8171316352,101223.75077026142,64951.848310883346,97751.01721209861,101095.86385703423,94380.15891595013,108784.12264664362,102601.20627945852,113247.44394466482,102722.51072671462,93701.39443466143,106258.45637877486,101721.11066047204,98645.88693909139,103855.11002353231,115277.65615243919,111736.15662353883,103161.37133636796,105611.67025949358,99268.32252536557,102744.4351388434,104040.87414088754,111574.06441462997,105834.70311292038,86902.43692210248,86880.56230250814,99491.31217347573,103499.52209068407,95868.20134434567,116660.10793326054,96937.21557276133,91020.0850746691,99103.02273392069,94542.68699904821,96555.43156135755,87001.19695728329
ERR10083036,170482.95898417532,55625.171900857975,69823.40016069112,59688.79135985248,95061.93857164917,48641.584955673476,85870.21414902841,0.0,48354.42940414042,116879.92541493171,76535.43951007271,69482.15516951097,95254.8890976206,48820.68693699424,71525.37254009936,74223.53792429999,42541.07073170585,49105.095743720936,33052.01600507902,37377.85189119353,43138.05220452124,181446.96045125695,67950.88216498739,131343.63701375108,33210.29543680694,104378.7787531546,96065.91723915408,40671.69590759648,57370.58344657129,136500.19372513724,93415.47807510274,57305.736623831996,98991.71414820536,64017.845918150044,58181.64704612615,66949.06044150284,61876.912027023456,63953.54428020389,59249.56501106147,80165.12506071452,91350.89511876718,67983.8002468235,87954.03128339257,65151.453084332665,70322.97985722733,68416.83060475689,97767.06673517417,90527.25996626652,54928.01788704923,40006.87080989964,67421.23718829254,83486.73461694378,57813.12268853845,104888.55252600258,57326.490813584605,64457.77496159792,79196.18481341131,58198.43497036669,70692.23602348422,40630.8015672839
ERR10083253,140917.78513374386,35366.85089176021,74985.08711070489,30076.261353432878,109094.9580686477,38287.7933811809,91473.24341576612,48354.42940414042,0.0,138158.76730052277,45584.96100689349,102077.8716764804,128752.98984489642,84405.69733140056,105747.64196898199,43171.460677164956,63342.35131410895,29756.66528695714,46616.203974583776,39967.603393248384,47504.09055018315,154786.3479122109,38379.32829010951,152542.26761458608,58914.697028839924,125480.12401571812,114369.0727863088,46178.33200755523,32390.466776506943,119628.5608289258,122964.18550537388,49723.03151458085,118761.51621211309,49262.94791219868,49205.96616265146,44488.15241162528,49605.34236349952,63589.13222398934,42817.17946105278,57056.067959508044,117890.36041169778,48938.437725370844,118310.90522010217,51503.02967787429,52440.253517693825,50312.70055363755,127398.01790844314,112515.54460606765,64731.063393088174,47361.460714382534,55425.678083357714,113398.33762449959,44174.813457444274,135145.20123186024,55287.441485386174,92889.13205537018,107911.21531147724,57671.60443407136,86324.5262772985,46795.726546341815
ERR10082874,259430.63455767903,145452.20030649245,92383.43597745214,147145.14381725277,61277.22361530424,123310.26284944818,98461.6588982737,116879.92541493171,138158.76730052277,0.0,168311.26718672164,78934.68308671417,64207.12105366507,92745.7687444554,74847.90424587719,169439.46267915276,106649.56936621919,138418.27146370526,137631.3306663857,144152.8372561567,115612.89577291973,257928.70186158034,160043.9542750678,67613.85321810908,106681.26883384917,38061.22185374505,45070.50372472001,145112.19428083912,149280.65837207445,184843.64845457903,69681.08620709066,130218.84114443655,58290.58902601688,132622.70754663396,119961.25381138695,145480.60816823665,130782.28797126927,117567.76018535014,146333.79019556625,158786.71613519816,66744.85533732169,138098.0557176675,73993.18521323433,131310.32716431713,137914.9229525217,139093.7620492019,69921.67671759595,59693.15387881595,91004.92253719026,122160.38103657012,133371.63132015744,68852.88831995358,131354.09113537348,73064.72724920008,119360.63459114148,81844.15415898683,70278.49198723603,112990.35165889165,75187.02632103494,124763.02984057416
