k1,k2,k3,k4,k5,k6,k7
-0.30034766280322217,-0.3770682789748205,-0.44669442900292844,-0.4985613373919285,-0.494964150331452,-0.09416414108129406,-0.021125319181403934
-0.30646616512680597,-0.37930485168803996,-0.4544071870614468,-0.5151150274345543,-0.5093416867900703,-0.09577344219918978,-0.021559386407894857
-0.3058331756316369,-0.37746092529568687,-0.44570627593978424,-0.503612289946503,-0.4950092062826348,-0.09158597112060893,-0.021386286523527268
-0.2121691265131913,-0.24644064457380332,-0.2799188104511594,-0.250521542782256,-0.1946581401132877,-0.004207669212563464,0.004918957585806473
-0.1447973770891029,-0.16792065605210266,-0.19106002398545016,-0.14985211117273975,-0.09267382819588829,0.007661785034980591,0.008503049597929703
-0.05682363103605419,-0.039329499775847085,-0.02238447151004748,-0.01706292570863887,-0.013395643230420817,-0.025109971306858023,-0.028419791758813533
-0.058698918398148135,-0.03526363235490203,-0.025876738243934563,-0.009774716651613825,-0.00365960794204985,-0.0023440039539464807,-0.0022562048275452983
-0.057028028714055545,-0.03689133086388175,-0.023165127160656343,-0.013572440279972717,-0.012778732824890122,-0.03393113923891273,-0.0205531144065154
-0.06001897992500471,-0.03801968023728631,-0.027227562971046726,-0.01595836077260903,-0.010033946509594266,-0.039759092147707245,-0.030057675740244563
-0.05721213423940431,-0.037602952021662465,-0.025222840892153722,-0.018286300250440164,-0.013584185416326727,-0.035298756996374366,-0.03765488049620992
-0.06160941565179088,-0.03379658683400224,-0.02187477794828365,-0.013010988223724297,-0.01482529086075579,-0.03374474378723357,-0.02917733073806052
-0.052198150083004186,-0.03837393849894613,-0.024866379333394216,-0.020871060673505124,-0.01570982234498202,-0.03724822182093048,-0.03491125744917793
-0.0479955596845225,-0.04752762369962262,-0.021272906266589578,-0.019785929226929427,-0.014871509093027561,-0.04331310610314896,-0.030444590884208242
-0.05559794638676155,-0.04313018893455278,-0.021938038766199153,-0.019438616385023182,-0.0151659998715666,-0.04343468490326924,-0.03369212452880196
-0.050843975890092964,-0.035421985092288936,-0.015588607089661699,-0.017575572725271955,-0.015977814526206696,-0.02703591024664908,-0.029201397978879683
-0.05906492896056863,-0.040686914898711006,-0.02787832417688462,-0.013460158897247686,-0.009691242218057576,-0.01927596893659236,-0.02639744241286161
-0.05361690824978619,-0.03354319324452843,-0.014710266104145268,-0.012218624681004653,-0.020762951983646367,-0.036425102136961755,-0.032152316699594265
-0.08551188869431421,-0.04290629052487222,-0.035189669204417594,-0.021342074475847798,-0.021497926186170448,-0.02317071148673328,-0.012668227223236055
-0.07390765116936632,-0.039939186108093584,-0.035534252629144024,-0.02181126280151067,-0.026480965411719105,-0.03971274521806047,-0.02935313520137497
-0.057912234091283266,-0.05088641743427628,-0.03673997526533517,-0.02288935985838553,-0.02910282448982109,-0.048759219599541444,-0.041730639155743585
